3,1
5,1
6,1
3,1
6,1
3,1
1,1
3,1
2,1
3,1
1,1
5,2
6,2
3,2
5,1
6,1
6,1
2,1
3,1
5,1
6,1
2,1
3,1
3,1
5,1
6,1
1,1
2,1
1,1
1,1
5,1
6,1
6,1
3,1
2,1
3,2
2,1
5,1
6,1
5,2
6,2
1,1
5,1
6,1
1,1
2,2
3,1
1,1
1,1
1,1
6,1
3,1
5,1
6,1
6,1
2,1
3,2
2,1
6,1
1,2
2,1
6,1
3,1
3,1
3,1
3,1
3,1
1,1
3,3
5,1
6,3
1,1
2,2
3,7
6,1
6,1
1,1
3,1
3,1
6,1
3,1
1,1
3,1
5,1
6,1
1,1
6,1
1,2
5,1
6,1
6,1
2,1
3,1
1,3
3,4
5,1
6,3
3,1
2,1
1,2
4,1
5,1
2,1
3,2
1,1
2,1
5,1
6,2
3,2
6,2
3,1
1,1
1,1
6,1
5,1
1,1
2,1
3,1
5,1
6,1
5,1
6,1
1,1
3,1
3,1
2,1
5,1
6,1
1,1
3,1
6,1
3,1
3,1
2,1
3,3
5,1
1,1
2,1
3,10
5,3
6,3
3,1
3,2
6,1
1,1
2,1
2,1
5,1
6,1
1,1
3,1
1,9
2,7
3,6
4,1
5,1
6,2
1,1
2,1
5,1
6,1
1,1
4,2
5,2
3,2
3,1
1,3
3,4
5,1
6,1
1,1
2,1
5,1
6,2
2,1
1,2
2,1
3,1
5,1
6,1
2,1
3,3
4,1
5,2
6,3
2,1
1,1
3,3
3,1
3,1
5,1
6,1
5,1
3,1
1,1
2,2
3,4
6,2
2,1
1,1
2,1
2,1
3,1
1,3
3,3
5,1
6,1
1,2
3,2
6,1
3,2
5,1
6,1
1,1
2,2
3,1
5,1
6,2
3,1
3,1
5,1
6,1
3,2
1,1
6,1
5,1
6,1
3,1
3,2
1,1
1,1
2,1
1,1
5,1
6,1
1,1
1,2
3,2
6,3
1,5
2,3
3,3
4,1
5,3
6,6
1,2
3,1
3,1
3,1
1,2
6,1
1,1
3,1
3,1
3,1
6,1
2,1
1,1
5,1
6,1
5,1
6,1
1,1
3,4
1,3
1,1
3,1
1,1
2,1
1,2
2,4
3,8
5,1
5,2
6,2
1,1
2,9
1,1
1,1
3,1
6,1
3,1
3,1
3,1
4,1
5,2
6,1
